,city,latitude,longitutde,temperature,humidity,cloudiness,wind_speed
502,mount isa,-20.73,139.49,48.2,49,0,5.82
503,harrison,39.26,-84.82,78.66,72,1,10.29
504,ponta do sol,-20.63,-46.0,75.25,54,44,2.71
505,port moresby,-9.47,147.16,76.24,100,88,12.44
506,abu dhabi,24.47,54.37,93.2,75,0,5.82
507,winneba,5.35,-0.62,77.0,94,90,12.75
508,yumen,40.29,97.04,62.65,43,88,7.63
509,hofn,64.25,-15.21,44.74,100,76,9.64
510,srandakan,-7.94,110.25,61.84,97,0,2.37
511,minab,27.15,57.07,89.6,84,12,6.93
512,tongchuan,34.9,108.95,75.2,88,44,2.24
513,dakar,14.69,-17.45,81.82,96,20,12.21
514,peniche,39.36,-9.38,64.4,82,0,10.29
515,katsuura,33.93,134.5,75.25,92,0,3.04
516,qeshm,26.96,56.27,89.6,84,20,6.93
517,khanpur,28.65,70.66,88.3,55,0,11.1
518,anloga,5.79,0.9,77.0,88,20,9.17
519,santa isabel do rio negro,-0.41,-65.02,82.63,78,24,3.15
520,calvinia,-31.47,19.78,42.4,78,48,10.76
521,xining,36.62,101.77,49.69,98,68,2.15
522,emba,34.81,32.42,79.56,74,40,10.29
523,marrakesh,31.63,-7.99,89.6,31,20,10.29
524,shimoda,34.7,138.93,79.3,95,0,11.1
525,kampene,-3.59,26.67,72.1,84,64,2.04
526,bac giang,21.27,106.2,80.6,94,80,4.7
527,marzuq,14.4,46.47,80.65,17,36,6.06
528,yarada,17.65,83.27,85.06,97,92,12.55
529,teahupoo,-17.83,-149.27,84.2,62,40,11.41
530,waiouru,-39.48,175.67,38.8,87,0,2.15
531,caravelas,-17.73,-39.27,75.25,100,8,14.0
532,preobrazheniye,42.9,133.91,57.7,100,100,2.15
533,sibolga,1.74,98.78,66.97,100,36,2.04
534,porlamar,10.96,-63.85,89.6,55,20,17.02
535,havre-saint-pierre,50.23,-63.6,62.6,82,1,17.22
536,katiola,8.14,-5.1,73.4,94,20,4.7
537,chubbuck,42.93,-112.47,78.98,3,1,9.17
538,zhumadian,33.01,114.02,70.3,81,0,5.17
539,puerto narino,-3.77,-70.38,87.8,70,40,8.05
540,kodinsk,58.6,99.18,56.8,94,92,2.71
541,chiredzi,-21.05,31.67,69.4,62,0,9.53
542,elmina,5.09,-1.35,75.79,94,92,11.43
543,sundby,59.37,17.92,54.75,82,56,4.61
544,srednekolymsk,67.46,153.71,38.71,80,88,6.4
545,nizhniy baskunchak,48.22,46.83,57.79,71,0,2.71
546,tilichiki,60.47,166.1,49.42,93,92,3.71
